"Movie","Netflix","Hulu","Prime.Video","Disney.","imdb_title_id","date_published","genre","duration","description","weighted_average_vote","total_votes","mean_vote","allgenders_0age_avg_vote","allgenders_0age_votes","allgenders_18age_avg_vote","allgenders_18age_votes","allgenders_30age_avg_vote","allgenders_30age_votes","allgenders_45age_avg_vote","allgenders_45age_votes","Certificate","Genre","Meta_score","Poster_Link"
"Remember the Titans",0,0,0,1,"tt0210945","2001-04-13","Biography, Drama, Sport",113,"The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.",7.8,194366,7.9,7.9,44,7.9,36167,7.7,93293,7.5,19099,"U","Biography, Drama, Sport",48,"https://m.media-amazon.com/images/M/MV5BYThkMzgxNjEtMzFiOC00MTI0LWI5MDItNDVmYjA4NzY5MDQ2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Road to Perdition",1,0,0,0,"tt0257044","2002-12-13","Crime, Drama, Thriller",117,"A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",7.7,242441,7.8,7.9,60,7.8,33538,7.7,120787,7.5,33333,"A","Crime, Drama, Thriller",72,"https://m.media-amazon.com/images/M/MV5BNjcxMmQ0MmItYTkzYy00MmUyLTlhOTQtMmJmNjE3MDMwYjdlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Roma",1,0,0,0,"tt0069191","1972-03-16","Comedy, Drama",120,"A fluid, unconnected and sometimes chaotic procession of scenes detailing the various people and events of life in Italy's capital, most of it based on director Federico Fellini's life.",7.4,11361,7.4,9.6,9,7.6,1198,7.3,4710,7.4,3036,"R","Drama",96,"https://m.media-amazon.com/images/M/MV5BMTU0OTc3ODk4Ml5BMl5BanBnXkFtZTgwMzM4NzI5NjM@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Roma",1,0,0,0,"tt6155172","2018-12-14","Drama",135,"A year in the life of a middle-class family's maid in Mexico City in the early 1970s.",7.7,134612,7.6,7.6,192,7.9,31213,7.6,44559,7.5,13607,"R","Drama",96,"https://m.media-amazon.com/images/M/MV5BMTU0OTc3ODk4Ml5BMl5BanBnXkFtZTgwMzM4NzI5NjM@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Roman Holiday",0,0,1,0,"tt0046250","1953-12-23","Comedy, Romance",118,"A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.",8,124684,8.1,8,48,8.1,22837,8,50852,8,21703,"","Comedy, Romance",78,"https://m.media-amazon.com/images/M/MV5BMTE2MDM4MTMtZmNkZC00Y2QyLWE0YjUtMTAxZGJmODMxMDM0XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Room",1,0,0,0,"tt3170832","2016-03-03","Drama, Thriller",118,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",8.1,357159,8.1,8.1,322,8.3,94462,8,116585,7.9,24253,"R","Drama, Thriller",86,"https://m.media-amazon.com/images/M/MV5BMjE4NzgzNzEwMl5BMl5BanBnXkFtZTgwMTMzMDE0NjE@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Rosemary's Baby",0,0,1,0,"tt0063522","1968-12-24","Drama, Horror",137,"A young couple trying for a baby move into a fancy apartment surrounded by peculiar neighbors.",8,187646,7.9,8.5,98,8.1,31452,7.9,83276,7.9,30002,"A","Drama, Horror",96,"https://m.media-amazon.com/images/M/MV5BZmEwZGU2NzctYzlmNi00MGJkLWE3N2MtYjBlN2ZhMGJkZTZiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Sabrina",1,0,0,0,"tt0047437","1954-11-18","Comedy, Drama, Romance",113,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",7.7,57694,7.8,7.5,17,7.7,8910,7.6,22771,7.7,12143,"Passed","Comedy, Drama, Romance",72,"https://m.media-amazon.com/images/M/MV5BYmFlNTA1NWItODQxNC00YjFmLWE3ZWYtMzg3YTkwYmMxMjY2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Sabrina",1,0,0,0,"tt0114319","1996-03-01","Comedy, Drama, Romance",127,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",6.3,35970,6.5,6,3,6.5,1996,6.2,14154,6.3,10195,"Passed","Comedy, Drama, Romance",72,"https://m.media-amazon.com/images/M/MV5BYmFlNTA1NWItODQxNC00YjFmLWE3ZWYtMzg3YTkwYmMxMjY2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Sabrina",1,0,0,0,"tt7981492","2018-07-12","Horror, Thriller",113,"A toy manufacturer and his wife are terrorized by a demon after their orphaned niece tries to call her late mother's spirit.",4.2,1397,4.7,4.1,6,3.7,284,4.3,434,4.7,148,"Passed","Comedy, Drama, Romance",72,"https://m.media-amazon.com/images/M/MV5BYmFlNTA1NWItODQxNC00YjFmLWE3ZWYtMzg3YTkwYmMxMjY2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Serenity",0,0,1,0,"tt6476140","2019-07-18","Drama, Mystery, Thriller",106,"A fishing boat captain juggles facing his mysterious past and finding himself ensnared in a reality where nothing is what it seems.",5.4,33464,5.5,5,24,5.2,5383,5.4,12457,5.5,5049,"PG-13","Action, Adventure, Sci-Fi",74,"https://m.media-amazon.com/images/M/MV5BOWE2MDAwZjEtODEyOS00ZjYyLTgzNDUtYmNiY2VmNWRiMTQxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Serenity",0,0,1,0,"tt0379786","2005-11-25","Action, Adventure, Sci-Fi",119,"The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.",7.8,279887,8.1,7.1,25,7.9,32085,7.8,147294,7.9,45616,"PG-13","Action, Adventure, Sci-Fi",74,"https://m.media-amazon.com/images/M/MV5BOWE2MDAwZjEtODEyOS00ZjYyLTgzNDUtYmNiY2VmNWRiMTQxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Shine",0,0,1,0,"tt0117631","1996-12-11","Biography, Drama, Music",105,"Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim.",7.7,50540,7.8,7.4,7,7.7,4274,7.7,21466,7.6,11657,"U","Biography, Drama, Music",87,"https://m.media-amazon.com/images/M/MV5BMTQzMzcxMzUyMl5BMl5BanBnXkFtZTgwNDI1MjgxMTE@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Short Term 12",0,0,1,0,"tt2370248","2013-08-23","Drama",96,"A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.",8,79731,8,8.2,30,8.2,22860,7.8,31320,7.6,6587,"R","Drama",82,"https://m.media-amazon.com/images/M/MV5BMTEwNjE2OTM4NDZeQTJeQWpwZ15BbWU3MDE2MTE4OTk@._V1_UX67_CR0,0,67,98_AL_.jpg"
